iter	MultiClass
0	1.081556471
1	1.056257705
2	1.037524705
3	1.019717198
4	1.002186684
5	0.9836666207
6	0.9703455112
7	0.9540458504
8	0.9380148984
9	0.9223059207
10	0.9063793953
11	0.8929318312
12	0.8833219982
13	0.8687083934
14	0.8594591995
15	0.8436253741
16	0.8342762909
17	0.8247460712
18	0.813548953
19	0.8039529491
20	0.7933406373
21	0.7779265024
22	0.7700788309
23	0.7578608762
24	0.7491620886
25	0.7412752862
26	0.7336009401
27	0.7249858917
28	0.719512053
29	0.7119230176
30	0.7052256704
31	0.6958134686
32	0.6881782959
33	0.6826023305
34	0.6759253204
35	0.6688988182
36	0.6618566528
37	0.6548396794
38	0.6502269944
39	0.6440919338
40	0.6360766066
41	0.6310859622
42	0.626502733
43	0.6214213478
44	0.61588141
45	0.6109253657
46	0.6049185557
47	0.599761221
48	0.595295853
49	0.589759174
50	0.583548748
51	0.578168925
52	0.5744549513
53	0.5697023958
54	0.5637656323
55	0.5582080353
56	0.5538985997
57	0.5503382927
58	0.5462545687
59	0.5419738708
60	0.5377517913
61	0.5341702126
62	0.5299314666
63	0.5260093463
64	0.5220115876
65	0.518148712
66	0.5143578776
67	0.5113532182
68	0.505479675
69	0.5022956768
70	0.4978940151
71	0.4952655423
72	0.49161133
73	0.487268111
74	0.484334961
75	0.481311485
76	0.4779571739
77	0.4749868334
78	0.4718337477
79	0.4684216547
80	0.465374988
81	0.4628596303
82	0.460158453
83	0.4555337942
84	0.4529836551
85	0.4501473475
86	0.4466506855
87	0.4446642182
88	0.4416921835
89	0.4396347997
90	0.4371499833
91	0.434028939
92	0.4316604392
93	0.4290235594
94	0.426431881
95	0.4226090963
96	0.4201417939
97	0.4171840357
98	0.4159741904
99	0.4145747466
100	0.4120770706
101	0.4101028884
102	0.408132634
103	0.4057667256
104	0.4028944095
105	0.4014629652
106	0.3988138506
107	0.3954559859
108	0.3930420903
109	0.3902136539
110	0.3873295205
111	0.3853332974
112	0.3828248328
113	0.380220494
114	0.3783361049
115	0.3760408479
116	0.3751831689
117	0.3731546437
118	0.3707767151
119	0.3680914837
120	0.366254042
121	0.3643672737
122	0.3630853977
123	0.3619042162
124	0.3600146909
125	0.3581825923
126	0.3565076596
127	0.3545751932
128	0.3520921
129	0.3491007775
130	0.3468147832
131	0.3439768661
132	0.3421912283
133	0.3400926281
134	0.338847292
135	0.3374530914
136	0.3361750117
137	0.3348296995
138	0.3333303047
139	0.3315518719
140	0.3293642705
141	0.3278636948
142	0.3266640953
143	0.3244791702
144	0.3228984771
145	0.3214175498
146	0.3201392108
147	0.318786988
148	0.3179199495
149	0.3167101951
150	0.3156805853
151	0.3147563054
152	0.3140504595
153	0.3124226636
154	0.310874807
155	0.3094789192
156	0.3087773572
157	0.3075955628
158	0.3062480703
159	0.3043263498
160	0.3033035272
161	0.3024539682
162	0.3012245734
163	0.3006390412
164	0.2997401861
165	0.2988554482
166	0.2974458878
167	0.2961632738
168	0.294907486
